,Code,Economy,HDI,Corrected_HDI,Financing for entrepreneurs,Governmental support and policies,Taxes and bureaucracy,Governmental programs,Basic-school Entrepreneurial Education and training,Post-school entrepreneurial education and training,R&D Transfer,Commercial and professional infrastructure,Internal market dynamics,Internal market openness,Physical and services infrastructure,Cultural and social norms,Rating,Perceived Capabilities ,Perceived Opportunities ,Fear of Failure Rate ,Entrepreneurial Intention ,Know Startup Entrepreneur Rate ,Entrepreneurship as Desirable Career Choice,Corre_Entr,High Status Successful Entrepreneurship ,Corr_High status,Media Attention for Entrepreneurship ,corr_media,Nascent Entrepreneurship Rate ,New Business Ownership Rate ,Total early-stage Entrepreneurial Activity (TEA),Established Business Ownership Rate ,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,Total early-stage Entrepreneurial Activity for Male Working Age Population,Total early-stage Entrepreneurial Activity for Female Working Age Population,Informal Investors Rate,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,New Product early-stage Entrepreneurial Activity,International Orientation early-stage Entrepreneurial Activity,(HDI)^2,Corrected_HDI2,Log(Rating),Predicted,Predicted_rating
0,54,argentina,0.641,0.641,3.07,2.96,1.93,3.66,3.02,4.75,3.7,4.72,5.6,3.76,5.8,4.86,22.2,61.62,45.88,25.8,29.14,33.26,62.06,62.06,52.91,52.91,66.65,66.65,11.65,6.29,17.74,9.49,29.76,50.68,19.87,15.79,5.97,22.03,39.33,1.16,0.410881,0.410881,3.100092289,3.40617782,30.14978584
1,61,australia,0.858,0.858,3.95,3.65,4.21,4.19,3.7,4.2,3.65,5.06,4.71,4.68,6.48,4.75,72.5,48.21,48.87,41.67,14.39,33.79,56.38,56.38,70.05,70.05,72.32,72.32,7.34,5.75,12.79,8.72,12.73,66.01,15.48,10.1,4.12,34.66,44.76,15.95,0.736164,0.736164,4.283586562,4.20597086,67.08569688
2,1246,barbados,,0.6805,3.05,3.74,2.47,3.5,2.61,4.54,2.87,4.75,4.42,3.64,6.11,4.26,34.5,75.03,54.97,14.74,21.61,34.63,69.55,69.55,69.78,69.78,61.64,61.64,11.48,10.66,21.05,14.09,15.23,56.45,22.42,19.77,5.73,13.21,21.73,9.17,0,0.46308025,3.540959324,3.472522157,32.21789864
3,32,belgium,0.82,0.82,5.28,6.48,3.17,4.76,3.14,5.37,4.55,6.23,4.78,5.09,6.44,4.11,63,31.89,40.26,48.48,10.85,17.18,54.18,54.18,54.51,54.51,54.66,54.66,4.53,1.96,6.24,3.75,27.46,44.3,7.5,4.98,2.75,23.05,56.04,22.88,0.6724,0.6724,4.143134726,4.201340329,66.7757726
4,267,botswana,0.431,0.431,4.05,4.16,4.07,4.1,4.15,4.91,3.82,4.18,4.93,3.51,4.98,4.66,34.4,74.11,57.81,18.86,61.85,49.1,70.12,70.12,82.01,82.01,76.21,76.21,23.01,11.89,33.23,4.6,35.56,50.06,36.58,30.1,10.33,34.17,30.94,6.18,0.185761,0.185761,3.538056564,3.173561171,23.89241801
5,55,brazil,0.519,0.519,3.93,3.67,2.23,3.42,2.11,3.84,2.9,4.2,4.98,3.49,4.71,3.86,20.1,58.27,42.38,44.74,24.37,51.67,77.66,77.66,80.08,80.08,69.58,69.58,6.7,14.9,20.98,18.89,42.87,47.79,21.65,20.33,1.57,9.06,28.39,0,0.269361,0.269361,3.000719815,2.947211089,19.05274316
6,359,bulgaria,0.683,0.683,4.36,2.93,4.75,3.41,2.59,4.19,3.59,5.21,3.58,3.91,6.76,3.5,22.7,35.17,15.84,33.28,5.34,39.79,57.53,57.53,71.51,71.51,49.28,49.28,1.95,1.51,3.46,5.44,33.42,29,4.01,2.9,2.5,8.78,14.45,7.93,0.466489,0.466489,3.122364924,3.139290029,23.0874696
7,226,burkina faso,0.215,0.215,3.56,3.73,4.68,4,1.88,4.55,2.91,4.89,4.39,3.78,4.77,4.67,11.9,78.05,58.1,17.89,45.87,68.98,73.79,73.79,83.38,83.38,67.3,67.3,19.74,11.23,29.75,27.78,27.5,37.26,33.59,26.65,8.06,14.47,26.03,5.43,0.046225,0.046225,2.4765384,2.638476727,13.99187392
8,237,cameroon,0.344,0.344,3.57,4.52,3.83,4.39,3,4.65,3.64,5.16,4.08,4.02,5.07,4.66,16,73.09,60.74,23.9,33.09,61.4,61.13,61.13,64.82,64.82,64.51,64.51,16.48,10.01,25.37,12.85,29.77,37.5,27.19,23.64,15.6,15.3,31.58,6.97,0.118336,0.118336,2.772588722,2.859890817,17.45962053
9,101,canada,0.829,0.829,5.23,4.73,5.17,4.97,4.13,5.27,4.32,6.3,3.8,4.88,6.97,5.92,75.6,50.49,53.19,39.47,11.64,31.6,,0.6805,,0.6805,,0.6805,9.74,5.49,14.72,8.85,13.51,55.92,15.99,13.48,7.12,29.12,57.22,27.93,0.687241,0.687241,4.325456283,4.208502744,67.25576527
10,56,chile,0.652,0.652,3.52,4.58,5.37,5.41,2.37,4.92,3.46,4.67,3.37,3.78,7.46,5.14,58.8,65.72,57.35,28.06,50.03,43.74,69.65,69.65,64.89,64.89,60.37,60.37,16.52,9.82,25.93,8.16,25.29,61.18,29.73,22.14,14.95,38.84,88.74,13.22,0.425104,0.425104,4.074141855,4.027590494,56.12551346
11,86,china,0.534,0.534,4.86,5.78,4.44,4.38,2.59,5.03,4.09,4.34,7.24,4.27,6.92,4.98,36.3,27.42,31.71,39.96,19.52,50.35,65.94,65.94,77.62,77.62,77.23,77.23,6.81,6.31,12.84,3.12,34.7,38.87,15.34,10.25,12.97,42.29,71.89,5.46,0.285156,0.285156,3.591817741,3.663059351,38.98041541
12,57,colombia,0.519,0.519,3.18,3.75,3.35,4.29,2.91,5.26,3.45,4.1,4.14,4.15,6.15,5.17,37.3,59.47,58.26,33.2,48.22,29.09,72.28,72.28,69.84,69.84,71.66,71.66,15.6,7.51,22.67,5.17,33.26,56.47,27.12,18.49,4.41,57.92,59.98,16.23,0.269361,0.269361,3.618993327,3.604037158,36.74628595
13,385,croatia,0.674,0.674,3.3,2.84,1.99,3.21,1.89,3.53,2.85,4.29,6.08,3.03,6.46,2.63,30.8,47.52,22.3,34.42,17.21,24.61,61.46,61.46,42.34,42.34,47.48,47.48,5.11,2.58,7.69,2.81,40.06,40.85,9.7,5.68,3,34.43,28.17,37.6,0.454276,0.454276,3.42751469,3.431606327,30.92628059
14,593,ecuador,0.57,0.57,3.36,4.73,3.17,4.41,3.74,6.23,3.67,4.93,3.69,4.18,7.59,5.81,21.1,72.25,52.71,28.62,46.32,39.53,61.63,61.63,67.12,67.12,77.31,77.31,25.89,9.84,33.56,17.4,30.56,34.57,34.34,32.79,5.49,10.19,42.44,8.04,0.3249,0.3249,3.04927304,3.254332656,25.902323
15,20,egypt,0.524,0.524,3.5,3.31,3.07,3.32,1.6,3.07,2.9,4.22,5.14,3.82,6.34,3.84,22.7,41.52,46.07,29.5,36.75,18.12,73.56,73.56,79.57,79.57,58.51,58.51,4.03,3.39,7.39,2.9,42.44,33.49,11.06,3.67,27.57,28.7,42.88,17.22,0.274576,0.274576,3.122364924,3.16590927,23.71029329
16,372,estonia,0.769,0.769,4.86,3.83,4.9,4.88,4.18,4.79,4.51,5.2,5.22,5.1,7.53,5.73,55.5,44.02,51.43,39.3,16.68,39.3,53.44,53.44,62.61,62.61,49.07,49.07,8.74,4.7,13.14,7.74,13.69,57.03,16.65,9.69,6.79,33.46,52.85,20,0.591361,0.591361,4.016383021,3.959039131,52.40694551
17,358,finland,0.834,0.834,4.31,5.35,4.9,4.58,3.87,4.22,3.89,5.68,5.35,4.58,7.61,4.45,66.9,37.39,48.62,32.62,10.86,45.18,33.17,33.17,84.89,84.89,68.15,68.15,4.04,2.75,6.59,10.21,15.02,63.02,8.92,4.2,3.81,18.18,42.34,7.26,0.695556,0.695556,4.203198967,4.174136685,64.983714
18,49,germany,0.853,0.853,4.3,4.25,3.85,5.61,2.68,4.13,4.01,5.85,4.5,5.15,6.44,4.23,64.9,36.19,38.27,42.29,7.18,23.62,50.77,50.77,75.7,75.7,49.82,49.82,2.84,1.93,4.7,4.82,17.13,64.19,6.09,3.29,3.89,28.79,48.92,25.13,0.727609,0.727609,4.172847624,4.212818372,67.54664334
19,30,greece,0.758,0.758,3.03,2.93,2.33,2.82,2.65,4.55,3.81,4.46,5.03,3.13,6.08,3.56,34.6,46.78,14.19,46.86,8.29,27.52,60.93,60.93,67.79,67.79,38.01,38.01,3.94,2.8,6.75,13.09,22.3,34.43,7.54,5.96,3.51,10.04,39.36,22.61,0.574564,0.574564,3.543853682,3.453393425,31.60746811
20,502,guatemala,0.443,0.443,2.82,2.63,3.2,3.26,2.07,4.63,2.77,4.15,3.24,3.31,6.09,4.26,17.9,59.98,47.89,31.02,36.85,31.02,95.62,95.62,79.79,79.79,60.62,60.62,10.84,7.56,17.71,8.08,45.78,40.79,21.9,13.9,4.81,14.99,68.93,0.26,0.196249,0.196249,2.884800713,3.01619913,20.41355477
21,36,hungary,0.769,0.769,3.97,2.71,2.42,3.23,2.34,4.3,3.59,4.36,5.45,3.79,6.11,3.2,36.3,38.67,25.34,41.82,14.75,31.45,48.35,48.35,68.39,68.39,33.36,33.36,5.31,2.7,7.92,6.49,23.21,50.52,10.41,5.5,4.75,35.63,36.11,18.32,0.591361,0.591361,3.591817741,3.738535787,42.03639485
22,91,india,0.435,0.435,5.74,5.5,3.94,4.52,4.11,5.09,4.29,4.96,5.72,4.75,6.15,5.45,25.8,37.84,37.79,44.01,9.15,37.6,39.33,39.33,46.65,46.65,39.35,39.35,7.7,3.17,10.83,5.5,18.92,34.26,13.65,7.88,2.84,6.2,70.41,11.88,0.189225,0.189225,3.250374492,3.126361131,22.7908954
23,62,indonesia,0.504,0.504,4.92,5.11,4.37,4.75,4.44,5.88,4.87,4.76,6.24,4.55,5.23,5.79,21.2,65.29,49.91,39.49,27.47,68.29,74.38,74.38,81.45,81.45,79.35,79.35,6.11,12.06,17.67,17.15,18.95,36.48,17.55,17.79,4.85,4.24,44.45,0.32,0.254016,0.254016,3.054001182,3.080860296,21.77712912
24,98,iran,0.509,0.509,3.28,3.76,3.25,2.07,2.81,3.36,3.04,2.76,5.9,3.12,6.64,3.68,22.1,61.99,40.31,38.1,34.96,45.93,56.27,56.27,82.3,82.3,58.3,58.3,7.85,5.33,12.93,14.04,28.82,48.53,17.5,8.46,8.93,23.65,29.16,3.39,0.259081,0.259081,3.095577609,3.088388941,21.94170011
25,353,ireland,0.843,0.843,5.42,4.94,4.8,5.9,3.58,4.9,4.64,6.1,3.85,5.16,6.75,5.41,71,45.02,39.35,40.87,14.57,33.25,52.62,52.62,80.27,80.27,67.39,67.39,6.5,2.98,9.33,5.6,19.33,38.53,12.95,5.76,4.01,36.65,55.4,27.46,0.710649,0.710649,4.262679877,4.241283955,69.49702563
26,972,israel,0.779,0.779,5.1,3.7,2.53,3.89,2.95,4.27,4.44,5.55,4.1,3.51,6.35,7.43,59.1,41.56,55.5,47.76,21.59,56.35,64.48,64.48,86.24,86.24,54.82,54.82,8.4,3.68,11.82,3.9,12.42,40.93,14.41,9.3,4.43,27.64,54.84,22.93,0.606841,0.606841,4.079230924,3.834952821,46.29124362
27,39,italy,0.779,0.779,3.98,3.09,2.35,3.32,2.99,4.27,3.93,4.3,4.26,4.15,5.11,3.52,37,30.54,25.66,57.46,8.15,28.2,60.92,60.92,68.99,68.99,48.51,48.51,3.19,1.68,4.87,4.51,18.69,30.04,6.85,2.91,1.92,8.94,66.2,16.28,0.606841,0.606841,3.610917913,3.603972734,36.74391869
28,701,kazakhstan,0.694,0.694,3.6,5.27,4.46,4.29,3.53,4.33,3.12,4.83,5.97,4.13,5.86,4.96,30.1,52.06,48.72,75.42,17.49,61.99,76.91,76.91,83.9,83.9,79.99,79.99,7.96,3.18,11,2.39,27.55,24.04,11.97,10.1,6.04,38.08,28.64,6.08,0.481636,0.481636,3.404525172,3.488503222,32.73691114
29,371,latvia,0.73,0.73,4.5,3.74,3.76,4.65,3.97,5.41,3.5,6.06,4.82,4.52,6.65,4.79,43,49.08,34.73,38.6,22.24,32.75,57.5,57.5,58.18,58.18,54.85,54.85,8.57,6.01,14.11,9.59,17.1,51.41,18.63,9.76,7.8,35.82,40.6,19.7,0.5329,0.5329,3.761200116,3.770359701,43.39567151
30,961,lebanon,0.609,0.609,5.22,3.28,4.14,4.23,4.28,4.93,4.21,5.62,4.35,4.15,4.43,6.34,28.8,69.83,45.67,17.41,43.95,62.11,,0.6805,,0.6805,,0.6805,10.78,20.39,30.15,17.96,27.37,57.26,35.66,24.58,4.89,16.55,49.33,25.14,0.370881,0.370881,3.360375387,3.43915859,31.1607282
31,352,luxembourg,0.799,0.799,4.07,5.27,5.6,5.96,3.5,5.4,5.38,6.02,3.78,5.49,6.8,4.12,58.1,43.96,48.18,42.58,13.48,36.44,44.06,44.06,68.81,68.81,44.05,44.05,7.1,3.2,10.18,3.28,9.31,52.16,11.62,8.7,6.96,15.73,65.14,40.01,0.638401,0.638401,4.062165664,4.076403984,58.93316376
32,389,macedonia,0.622,0.622,3.95,4.03,4.61,4.43,3.56,4.85,4.09,5.1,5.73,3.71,6.46,4.05,28.7,54.44,37.77,34.33,23.32,35.19,67.1,67.1,57.07,57.07,71.13,71.13,3.02,3.09,6.11,5.91,52.06,26.69,8.65,3.51,4.05,27.15,35.41,16.53,0.386884,0.386884,3.356897123,3.340299651,28.22758386
33,60,malaysia,,0.6805,5.77,5.18,5.18,5.62,4.09,5.15,4.93,5.63,6.07,4.67,7.17,5.77,33.4,27.83,28.24,27.13,5.61,36.94,39.28,39.28,50.98,50.98,63.91,63.91,0.76,2.26,2.93,4.78,13.68,67.01,2.86,3,2.84,22.11,17,7.74,0,0.46308025,3.5085559,3.641289798,38.14099919
34,52,mexico,0.587,0.587,4.04,4.75,3.65,5.05,2.57,5.44,4.12,4.69,5.42,3.63,6.31,5.04,25.7,45.81,44.73,36.44,13.69,47.89,49.31,49.31,52.02,52.02,40.5,40.5,16.21,4.97,21.01,6.86,18.91,55.53,22.99,19.17,6.76,12.56,30.84,1.45,0.344569,0.344569,3.246490992,3.301269035,27.14706765
35,212,morocco,0.441,0.441,4.26,3.57,3.6,3.8,1.83,3.29,3.11,5.04,4.71,3.72,6.99,3.68,25.7,47.56,34.25,41.08,30.18,30.41,70.63,70.63,54.57,54.57,52.18,52.18,1.31,3.16,4.44,5.16,28.36,43.17,6.1,2.85,1.76,21.08,55.05,8.71,0.194481,0.194481,3.246490992,3.037135694,20.84544989
36,47,norway,0.894,0.894,4.17,3.67,4.29,4.38,4.08,4.12,4.23,5.5,5.15,4.22,6.84,4.73,55.9,30.76,68.93,33.41,4.78,31.23,,0.6805,,0.6805,,0.6805,2.32,3.34,5.66,6.53,10.6,66.36,7.49,3.84,2.58,25.28,19.76,7.18,0.799236,0.799236,4.02356438,4.151498622,63.52913513
37,507,panama,0.604,0.604,3.28,2.74,5.53,3.71,1.93,3.67,3.22,4.4,4.19,4.35,7.05,5.18,26.2,49.42,46.51,23.07,13.94,53.69,,0.6805,,0.6805,,0.6805,5.2,7.65,12.8,4.2,45.31,39.06,13.5,12.1,3.35,4.3,45.7,42.15,0.364816,0.364816,3.265759411,3.157649079,23.5152484
38,51,peru,0.563,0.563,3.02,3.13,2.98,3.69,2.95,4.95,3.01,3.68,3.84,3.81,5.64,4.96,26.8,65.31,51.36,25.53,38.56,48.16,72.27,72.27,69.74,69.74,68.13,68.13,17.8,4.85,22.22,6.61,25.25,53.6,21.93,22.5,5.22,17.27,37.06,5.68,0.316969,0.316969,3.288401888,3.209270755,24.7610228
39,63,philippines,0.547,0.547,5.09,3.85,2.87,3.58,4.99,6.3,4.06,5.2,6.12,4.13,5.47,5.71,24.1,68.99,53.77,36.45,37.11,46.16,74.63,74.63,76.15,76.15,81.46,81.46,7.61,10.07,17.16,7.25,25.64,41.55,14.85,19.47,4.48,13.46,53.59,6.87,0.299209,0.299209,3.18221184,3.205820516,24.67573856
40,48,poland,0.734,0.734,4.73,4.6,3.44,4.6,2.48,3.87,3.51,4.51,6.36,4.56,6.82,4.36,46.6,55.92,32.89,47.8,19.97,43.23,60.45,60.45,55.69,55.69,51.5,51.5,5.74,3.52,9.21,5.92,28.06,46.42,12.47,5.96,4.56,34.11,60.52,10.5,0.538756,0.538756,3.841600541,3.897537422,49.28094139
41,351,portugal,0.726,0.726,4.69,4.95,5.8,4.74,5.6,4.74,5.27,4.62,5.41,5.02,3.53,5.23,47.2,48.85,28.07,40.8,16.17,27.9,63.43,63.43,62.93,62.93,71.58,71.58,5.62,4.01,9.49,7,24.49,35.87,12.4,6.74,2.18,23.56,34.37,25.68,0.527076,0.527076,3.854393893,3.666186878,39.10251855
42,1787,puerto rico,,0.6805,3.3,4.14,2.16,3.29,2.01,4.2,2.88,4.64,4.3,3.69,5.51,3.75,40.6,50.37,25.05,17.73,11.12,24.4,16.73,16.73,47.57,47.57,68.08,68.08,6.59,1.89,8.48,1.41,25.13,41.43,9.96,7.12,1.17,10.93,31.99,7.98,0,0.46308025,3.703768067,3.47223261,32.20857141
43,40,romania,0.711,0.711,3.37,3.58,3.46,3.75,3.91,4.52,3.71,5.96,4.19,3.99,4.87,4.11,37.1,46.33,33.31,40.49,29.01,32.07,72.42,72.42,75.07,75.07,67.37,67.37,6.11,5.05,10.83,7.47,27.54,33.24,14.16,7.49,5.2,45.3,44.29,21.98,0.505521,0.505521,3.61361697,3.713499809,40.99703752
44,221,senegal,0.305,0.305,3.6,4.07,4.87,4.12,1.78,3.92,2.36,5.32,3.33,3.86,6.43,3.82,19.7,89.05,69.91,15.91,66.64,62.92,,0.6805,,0.6805,,0.6805,24.9,14.97,38.55,18.82,27.06,51.89,40.48,36.77,15.18,24.86,12.48,3.21,0.093025,0.093025,2.980618636,2.835679937,17.04198384
45,421,slovakia,0.791,0.791,4.28,3.68,3.39,3.74,3.41,4.16,3.23,5.48,4.09,4.24,7.01,3.46,44.1,52.38,26.44,33.65,15.69,36.54,50.76,50.76,64.23,64.23,53.98,53.98,6.49,3.39,9.64,5.69,31.09,51.3,12.96,6.5,8.49,32.64,47.67,20.77,0.625681,0.625681,3.786459782,3.974956447,53.24779778
46,386,slovenia,0.837,0.837,4.21,4.04,3.11,4.49,2.8,3.93,3.78,4.68,5.32,3.83,6.42,3.4,51.5,48.61,20.54,32.39,9.11,37.22,53.69,53.69,70.03,70.03,60.29,60.29,3.22,2.79,5.91,4.21,23.67,44.94,8.41,3.27,3.57,23.96,47.64,33.68,0.700569,0.700569,3.941581808,4.059562447,57.94894979
47,27,south africa,,0.6805,4.01,4.13,3.08,2.99,3.06,4.21,3.44,4.85,4.46,3.93,5.85,3.42,32.6,45.44,40.91,30.32,10.93,35.01,73.79,73.79,76.14,76.14,72.23,72.23,5.45,3.78,9.19,3.41,33.23,37.49,11.6,6.96,1.81,30.14,51.99,22.29,0,0.46308025,3.484312288,3.661072772,38.90305461
48,82,south korea,0.749,0.749,3.88,5.79,4.58,4.97,2.77,3.95,3.58,3.97,7.31,3.29,6.98,4.9,50.5,27.41,14.39,38.11,6.62,37.05,37.97,37.97,53.52,53.52,61.52,61.52,5.01,4.29,9.25,6.96,24.36,62.12,10.74,7.71,3.14,22.09,61.13,11.53,0.561001,0.561001,3.921973336,4.070000036,58.5569647
49,34,spain,0.775,0.775,3.99,4.02,3.76,4.82,3.5,4.19,3.93,4.44,4.41,4.27,5.06,4.39,45.3,45.26,25.97,39.15,5.59,33.66,53.17,53.17,48.38,48.38,46.85,46.85,2.13,3.62,5.7,7.7,24.8,44.52,6.37,5.02,3.27,14.58,34.44,6.26,0.600625,0.600625,3.813307032,3.69055935,40.0672523
50,46,sweden,0.851,0.851,4.65,3.95,3.91,4.62,3.78,3.93,4.01,5.05,5.71,4.5,7.45,4.95,75.5,36.7,70.22,36.45,8.44,38.66,52.66,52.66,69.81,69.81,61.32,61.32,4.79,2.62,7.16,5.2,9.22,52.62,9.38,4.81,6.31,18,45.13,17.75,0.724201,0.724201,4.324132656,4.04902533,57.34154071
51,41,switzerland,0.84,0.84,5.29,5.72,5.82,5.91,4.9,6.18,6.22,6.28,4.5,5.66,7.88,5.79,78,44,41.79,33.8,7.04,29,39.99,39.99,66.51,66.51,59.54,59.54,4.62,2.81,7.31,11.33,10.08,65.8,9.48,5.09,5.75,25.39,52.93,38.58,0.7056,0.7056,4.356708827,4.35015944,77.49081707
52,886,taiwan,,0.6805,4.71,4.37,4.5,4.14,2.92,4.22,4.08,4.44,5.83,4.18,7.3,4.83,60.7,25.43,30.22,43.79,26.09,35.34,74,74,62.65,62.65,85.62,85.62,2.54,4.81,7.3,9.61,14.94,56.53,9.75,4.85,5.41,55.87,61.65,18.27,0,0.46308025,4.105943698,3.960845991,52.50172314
53,66,thailand,0.576,0.576,4.17,4.04,4.02,3.74,3.57,4.34,3.94,4.81,6.38,4.11,6.41,5.5,27.1,46.22,41,46.62,16.73,32.56,71.5,71.5,69.39,69.39,72.46,72.46,4.49,9.47,13.74,24.61,17.18,75.86,12.68,14.76,2.94,9.94,41.13,3.24,0.331776,0.331776,3.299533728,3.287996241,26.78913088
54,216,tunisia,0.562,0.562,4.21,4.07,2.7,3.63,1.65,3.36,2.76,5.76,6.85,2.87,6.72,4.09,40.5,59.93,48.79,40.25,28.8,48.85,71.1,71.1,72.1,72.1,48.35,48.35,5.41,4.86,10.13,5.02,18.03,64.1,14.98,5.33,8.02,52.16,52.96,15.09,0.315844,0.315844,3.701301974,3.637876199,38.01102308
55,598,uruguay,0.678,0.678,3.7,3.37,3.73,5.05,2.04,4.62,4.18,5.06,3.24,4.13,6.2,3.59,34.6,61.04,39.18,24.43,25.44,34.79,58.81,58.81,56.75,56.75,59.85,59.85,10.6,3.76,14.28,2.09,18.18,53.65,20.11,9.1,6.16,28.04,51.2,13.93,0.459684,0.459684,3.543853682,3.668635996,39.19840261
56,84,vietnam,0.549,0.549,3.45,4.33,4.61,3.51,2.47,4.17,3.91,4.66,6.07,4.22,6.87,5.44,22,56.83,56.8,45.57,22.26,64.78,73.29,73.29,75.77,75.77,73.53,73.53,1,12.65,13.65,19.55,37.36,57.88,11.64,15.55,10.1,19.05,45.05,1.48,0.301401,0.301401,3.091042453,3.280168211,26.5802434
57,1,united states,0.76,0.76,5.41,4.35,4.59,4.07,3.52,4.42,4.15,5.41,5.64,4.41,7.1,6.79,83.40,55.71,46.63,29.36,12.35,29.84,,0.6805,,0.6805,,0.6805,8.28,4.04,11.88,7.33,14.32,69.02,14.63,9.18,6.03,35.51,47.09,11.66,0.5776,0.5776,4.423648309,,
58,44,united kingdon,0.802,0.802,5.36,4.58,4.36,4.54,3.99,5.04,4.18,4.98,5.02,4.71,5.92,5.34,21.30,43.57,41.55,34.93,8.16,29.74,57.85,57.85,79.24,79.24,61.09,61.09,4.03,2.92,6.93,5.26,23.92,51.19,9.09,4.80,2.21,21.83,54.26,18.15,0.643204,0.643204,3.058707073,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
